MSA_Name,AdvWeightedGap_2006,AdvWeightedGap_2007,AdvWeightedGap_2008,AdvWeightedGap_2009,AdvWeightedGap_2010,AdvWeightedGap_2011,AdvWeightedGap_2012,AdvWeightedGap_2013,AdvWeightedGap_2014,AdvWeightedGap_2015,AdvWeightedGap_2016,AdvWeightedGap_2017,AdvWeightedGap_2018,AdvWeightedGap_2019,AdvWeightedGap_2020,AdvWeightedGap_2021,AdvWeightedGap_2022,AdvWeightedGap_2023,Adv_Weight_LQ_2015_2018_Anchor,Avg_AdvWeightedGap_PreCOVID_2006_2019,Avg_AdvWeightedGap_COVID_2020_2023,Latest_Year_AdvWeightedGap_2023,Market_Category_Mode_2020_2023
"Stockton-Lodi, CA",,394093.3893233179,404269.042605788,80245.60606092075,942134.6464182758,241707.94308203692,547759.8926377399,239380.41142187594,64209.16923543997,-383616.7100191908,-502349.00133167836,294784.0607095696,160482.9882130425,362448.6561055111,1745653.9791811558,883801.337017515,2024285.1125728076,2428922.773909717,0.2227474164703419,218888.46880481916,1770665.8006702987,2428922.773909717,Significant Structural Surplus
"Worcester, MA",1592828.6291199084,2943324.509345906,2360308.6563083045,1720268.0306080366,1868656.6936759325,1830164.3290996999,764888.3814983778,563106.5916299643,405524.32188688964,1304542.288450893,232176.81035344023,225405.48929056805,1039794.9252450485,365276.1613780521,,1205879.5926321717,2262869.80979822,1793888.0199642875,0.48987556482979155,1229733.2727065014,1754212.47413156,1793888.0199642875,Significant Structural Surplus
"San Diego-Chula Vista-Carlsbad, CA",518356.1805804521,-208636.40488429554,-436067.44667636603,1579072.6897406224,-144345.02533991635,335932.4860786963,-176115.44393045083,-347187.34325186536,499009.2736332454,47368.07609678432,-456524.8965055719,492489.49247961305,1042232.9357624929,1178215.198440276,1954383.0921642883,-1507026.7284635948,808385.3609278603,5738795.8926780615,0.5942999190466253,280271.41230169404,1748634.4043266538,5738795.8926780615,Moderate Structural Deficit
"Greenville-Anderson-Greer, SC",1832035.0425522411,251595.33710452076,650239.0304088015,1502951.195497036,974053.6692249123,1199293.5325428294,509254.3895471934,-49912.0112311868,1452950.081974199,334246.27322614007,637648.038880175,1504706.7543574544,253011.46015100088,1619838.4595227432,1048141.9022411928,-120420.27746686479,2356900.116422841,3576100.2627681014,0.5406614720802202,905136.5181255757,1715180.5009913174,3576100.2627681014,Significant Structural Surplus
"Austin-Round Rock-San Marcos, TX",-1752478.5959127434,42307.588430793025,690807.1374881733,-1882407.2217777409,-1242354.8800849756,-1371562.4464320662,-1083035.6835718602,-377609.88761054445,144040.16195500642,-1059029.800469201,31598.674099714495,417913.0641381368,396267.84766742866,895756.5345821781,304507.019670737,-1797655.8065578807,2506671.9512196053,5484762.594650721,0.5909382752903728,-439270.5362498358,1624571.4397457957,5484762.594650721,Moderate Structural Surplus
"Nashville-Davidson--Murfreesboro--Franklin, TN",-1497784.3959492352,1822701.2371101696,1732241.0390363801,2975048.6646059453,4137128.0798633266,-770616.7646030821,234684.8964917548,175984.00008900277,-451928.4590125121,-2096131.4114935473,-467003.63534621894,-1498159.0755686332,1763331.2903500507,466010.7253034776,2009189.9286393402,544856.2987464163,367794.8821222093,2962816.67760549,0.5090955988946715,466107.5850626342,1471164.446778364,2962816.67760549,Moderate Structural Surplus
"Buffalo-Cheektowaga, NY",,-988991.4445689963,755049.8948653722,592253.5904456656,-150046.99984235782,-40445.71635873709,-1079810.369439193,-313084.0754969893,-518276.0768110426,-416565.83493018616,274358.2545174891,15423.02320025349,28005.416531980503,656425.2183815725,2453442.684819347,795558.9695909014,442352.19101046724,1659590.2847198052,0.4813667569013179,-91208.08611578222,1337736.0325351302,1659590.2847198052,Moderate Structural Surplus
"Oklahoma City, OK",-888911.9460996841,-166444.64000628004,-405007.26050773636,-196910.64647546783,-628048.1292650355,-666800.8641460678,32920.630960244685,70336.97657802328,728429.864453698,268976.4861695124,297048.42239965126,706387.0629261285,-79597.77080237074,-77473.96991409361,591562.5747377328,336197.83372653136,1841406.3650804302,1494914.397834279,0.4509615723252123,-71792.55598067699,1066020.2928447435,1494914.397834279,Moderate Structural Surplus
"San Francisco-Oakland-Fremont, CA",-1623909.1028836216,-1452080.3252764824,-240655.8143645972,-676409.2954913694,-249764.9117078064,-88967.82834000047,-553192.1571773626,-2490017.8296940792,-1063409.2492699493,-813239.3502129647,-335575.2417949913,-924025.0286007142,-829441.4083303907,-104854.88546592137,264620.4629179593,933832.1625410249,590597.5628428683,2373289.6350492137,0.6126760747944751,-817538.7449007322,1040584.9558377665,2373289.6350492137,Moderate Structural Surplus
"St. Louis, MO-IL",1080569.561938839,705664.1756458543,567691.5667198319,3249312.7757177167,1512633.8159111775,1489891.015688654,2177920.345848251,1935185.587282678,732342.9565607589,2293344.6138321664,807972.0648570228,398691.5021324307,1244490.341647448,3182206.501918629,195674.13789482974,1027366.3367678504,-830608.01251157,3424647.117797969,0.47819054921188037,1526994.0589786756,954269.8949872698,3424647.117797969,Structurally Balanced
