MSA_Name,Year,Available_SF_Total,Counterfactual_Space_SF,Adv_Weight_LQ,Adv_Weighted_Available_SF_Total,Adv_Weighted_Counterfactual_SF
"San Antonio-New Braunfels, TX",2009,14511812.0,14916286.602750486,0.4373243735912093,6346369.092573394,6523255.694854803
"San Antonio-New Braunfels, TX",2010,15040024.0,15514255.499241687,0.4373243735912093,6577369.074596754,6784762.067939845
"San Antonio-New Braunfels, TX",2011,14149454.0,16621734.542568874,0.4373243735912093,6187901.107207631,7269089.646828298
"San Antonio-New Braunfels, TX",2012,12005003.0,14664555.774790375,0.4373243735912093,5250080.416935588,6413167.668203551
"San Antonio-New Braunfels, TX",2013,12917818.0,14308974.751419332,0.4373243735912093,5649276.665015248,6257663.419896889
"San Antonio-New Braunfels, TX",2014,13076776.0,16355911.09527505,0.4373243735912093,5718792.87279256,7152838.574254671
"San Antonio-New Braunfels, TX",2015,13090131.0,14567881.153228067,0.4373243735912093,5724633.33980187,6370889.499886648
"San Antonio-New Braunfels, TX",2016,12880101.0,12745085.519555153,0.4373243735912093,5632782.101616508,5573736.5412058495
"San Antonio-New Braunfels, TX",2017,11987630.0,12861407.266802736,0.4373243735912093,5242482.7805931885,5624606.876455934
"San Antonio-New Braunfels, TX",2018,12456522.0,15465206.290932545,0.4373243735912093,5447540.680775117,6763311.653640904
"San Antonio-New Braunfels, TX",2019,13544107.0,15159676.24591071,0.4373243735912093,5923168.109627313,6629695.918088436
"San Antonio-New Braunfels, TX",2020,14626880.0,16672663.76868379,0.4373243735912093,6396691.133593787,7291362.238736489
"San Antonio-New Braunfels, TX",2021,11199519.0,17239670.081604097,0.4373243735912093,4897822.6311978465,7539327.919356624
"San Antonio-New Braunfels, TX",2022,15508577.0,19471725.209434975,0.4373243735912093,6782278.721816036,8515460.02995631
"San Antonio-New Braunfels, TX",2023,17545436.0,17308542.28040921,0.4373243735912093,7673046.808084653,7569447.410556919
"San Diego-Chula Vista-Carlsbad, CA",2006,17223681.0,16351467.890141264,0.5942999190466253,10236032.223984897,9717676.043404445
"San Diego-Chula Vista-Carlsbad, CA",2007,18575776.0,18926838.482422996,0.5942999190466253,11039582.173028244,11248218.57791254
"San Diego-Chula Vista-Carlsbad, CA",2008,22252358.0,22986107.799892124,0.5942999190466253,13224574.557996524,13660642.00467289
"San Diego-Chula Vista-Carlsbad, CA",2009,28712540.0,26055510.04065932,0.5942999190466253,17063860.19762299,15484787.507882366
"San Diego-Chula Vista-Carlsbad, CA",2010,28630897.0,28873779.458357852,0.5942999190466253,17015339.769332267,17159684.794672184
"San Diego-Chula Vista-Carlsbad, CA",2011,27334641.0,26769383.50069292,0.5942999190466253,16244974.933468563,15909042.447389867
"San Diego-Chula Vista-Carlsbad, CA",2012,25097203.0,25393544.01955285,0.5942999190466253,14915265.71119672,15091381.155127173
"San Diego-Chula Vista-Carlsbad, CA",2013,22177376.0,22761571.508235678,0.5942999190466253,13180012.76146657,13527200.104718436
"San Diego-Chula Vista-Carlsbad, CA",2014,19180653.0,18340994.00352267,0.5942999190466253,11399060.52516141,10900051.251528163
"San Diego-Chula Vista-Carlsbad, CA",2015,16134491.0,16054787.007825859,0.5942999190466253,9588726.695158504,9541358.61906172
"San Diego-Chula Vista-Carlsbad, CA",2016,15481958.0,16250130.570573337,0.5942999190466253,9200926.386083253,9657451.282588825
"San Diego-Chula Vista-Carlsbad, CA",2017,14139177.0,13310488.526897624,0.5942999190466253,8402911.746485906,7910422.254006293
"San Diego-Chula Vista-Carlsbad, CA",2018,15595875.0,13842159.573899254,0.5942999190466253,9268627.249961287,8226394.314198796
"San Diego-Chula Vista-Carlsbad, CA",2019,15080853.0,13098326.735600762,0.5942999190466253,8962549.717054056,7784334.51861378
"San Diego-Chula Vista-Carlsbad, CA",2020,14976334.0,11687787.208172219,0.5942999190466253,8900434.08381522,6946050.9916509325
"San Diego-Chula Vista-Carlsbad, CA",2021,9576619.0,12112420.672127374,0.5942999190466253,5691383.896440374,7198410.624903969
"San Diego-Chula Vista-Carlsbad, CA",2022,12374213.0,11013981.684093596,0.5942999190466253,7353993.784165698,6545608.423237838
"San Diego-Chula Vista-Carlsbad, CA",2023,20328019.0,10671622.105509037,0.5942999190466253,12080940.046078261,6342144.153400198
"San Francisco-Oakland-Fremont, CA",2006,6759104.0,9409622.226010978,0.6126760747944751,4141141.3078476354,5765050.410731257
"San Francisco-Oakland-Fremont, CA",2007,6570462.0,8940524.068709943,0.6126760747944751,4025564.8677462563,5477645.193022738
"San Francisco-Oakland-Fremont, CA",2008,8669462.0,9062256.53575093,0.6126760747944751,5311571.948739859,5552227.7631044565
"San Francisco-Oakland-Fremont, CA",2009,11307164.0,12411188.334095752,0.6126760747944751,6927628.856577395,7604038.152068765
"San Francisco-Oakland-Fremont, CA",2010,11102511.0,11510173.25740346,0.6126760747944751,6802242.859842482,7052007.771550288
"San Francisco-Oakland-Fremont, CA",2011,11088677.0,11233888.853375938,0.6126760747944751,6793767.099023775,6882734.927363776
"San Francisco-Oakland-Fremont, CA",2012,10202439.0,11105350.309802547,0.6126760747944751,6250790.279850069,6803982.437027432
"San Francisco-Oakland-Fremont, CA",2013,7126751.0,11190917.909943998,0.6126760747944751,4366389.8287176,6856407.658411679
"San Francisco-Oakland-Fremont, CA",2014,5221425.0,6957104.412039509,0.6126760747944751,3199042.173833742,4262451.423103691
"San Francisco-Oakland-Fremont, CA",2015,4909475.0,6236831.140821672,0.6126760747944751,3007917.8723016055,3821157.2225145698
"San Francisco-Oakland-Fremont, CA",2016,4611927.0,5159647.493096718,0.6126760747944751,2825617.331598659,3161192.5733936504
"San Francisco-Oakland-Fremont, CA",2017,3705725.0,5213903.736880957,0.6126760747944751,2270409.047267756,3194434.07586847
"San Francisco-Oakland-Fremont, CA",2018,4205766.0,5559566.878561531,0.6126760747944751,2576772.20438406,3406213.612714451
